Protein Set	Description	K02	K04	K05	K07	K10	K12	K18	K20	K23	K24	K26	K27	K31	K32	K35	K41	K03	K06	K08	K09	K11	K13	K14	K15	K19	K22	K28	K29	K38	K40	K42	K43	K44	Z01	Z03	Z05	Z07	Z09	Z16	Z17	Z18	Z19	Z20	Z23	Z02	Z06	Z10	Z11	Z12	Z13	Z14	Z15	Z21	Z22	Z04	Z08	Z25
SIGIRR	na	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
HIMAP4	na	27.0	28.0	27.0	29.0	26.0	26.0	24.0	27.0	19.0	22.0	28.0	28.0	26.0	32.0	28.0	27.0	25.0	27.0	25.0	23.0	23.0	19.0	26.0	24.0	21.0	24.0	21.0	27.0	26.0	29.0	29.0	32.0	27.0	28.0	25.0	27.0	28.0	24.0	28.0	25.0	29.0	25.0	26.0	30.0	25.0	27.0	24.0	25.0	23.0	24.0	25.0	25.0	25.0	23.0	24.0	27.0	27.0
RFC3	na	5.0	6.0	6.0	6.0	4.0	6.0	5.0	3.0	4.0	5.0	5.0	4.0	5.0	5.0	5.0	7.0	5.0	7.0	0.0	7.0	6.0	4.0	8.0	7.0	0.0	4.0	4.0	6.0	4.0	2.0	6.0	7.0	6.0	9.0	7.0	8.0	7.0	9.0	8.0	9.0	8.0	8.0	4.0	4.0	5.0	4.0	2.0	2.0	4.0	5.0	9.0	7.0	3.0	9.0	7.0	7.0	7.0
NUDT5	na	13.0	13.0	10.0	11.0	11.0	11.0	11.0	12.0	10.0	10.0	14.0	13.0	12.0	12.0	12.0	11.0	12.0	14.0	9.0	11.0	12.0	9.0	14.0	11.0	13.0	11.0	10.0	11.0	12.0	12.0	13.0	12.0	13.0	13.0	11.0	12.0	13.0	12.0	13.0	13.0	13.0	13.0	12.0	11.0	11.0	13.0	13.0	12.0	11.0	13.0	14.0	12.0	12.0	12.0	14.0	14.0	13.0
MAPRE1	na	19.0	19.0	17.0	19.0	14.0	14.0	16.0	15.0	14.0	12.0	18.0	19.0	15.0	19.0	16.0	17.0	15.0	17.0	12.0	16.0	15.0	15.0	15.0	17.0	17.0	15.0	12.0	16.0	15.0	17.0	19.0	18.0	18.0	17.0	16.0	18.0	16.0	17.0	18.0	14.0	17.0	19.0	16.0	17.0	17.0	16.0	15.0	15.0	15.0	16.0	15.0	16.0	16.0	14.0	17.0	16.0	17.0
MCL1	na	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	0.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
AP2A2	na	21.0	19.0	16.0	21.0	20.0	19.0	16.0	9.0	11.0	14.0	18.0	19.0	18.0	17.0	15.0	19.0	16.0	16.0	7.0	17.0	21.0	17.0	20.0	20.0	7.0	15.0	15.0	20.0	15.0	18.0	17.0	17.0	18.0	18.0	18.0	21.0	21.0	21.0	21.0	20.0	21.0	20.0	16.0	16.0	20.0	15.0	11.0	15.0	17.0	16.0	20.0	21.0	16.0	21.0	22.0	19.0	20.0
HINT1	na	10.0	9.0	6.0	10.0	6.0	5.0	6.0	7.0	6.0	6.0	8.0	10.0	7.0	11.0	8.0	6.0	5.0	9.0	6.0	8.0	7.0	4.0	8.0	8.0	8.0	6.0	4.0	6.0	7.0	8.0	9.0	9.0	9.0	9.0	7.0	10.0	7.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	8.0	9.0	7.0	8.0	7.0	9.0	8.0	9.0	9.0	7.0	8.0	9.0	7.0
TPM1	na	7.0	7.0	7.0	7.0	7.0	5.0	7.0	7.0	6.0	7.0	7.0	7.0	6.0	7.0	6.0	7.0	7.0	6.0	7.0	6.0	4.0	7.0	6.0	6.0	7.0	7.0	6.0	6.0	7.0	7.0	7.0	5.0	7.0	5.0	5.0	4.0	6.0	4.0	6.0	4.0	5.0	7.0	5.0	6.0	7.0	4.0	6.0	6.0	4.0	5.0	5.0	7.0	6.0	4.0	5.0	6.0	4.0
HNRNPH1	na	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
PIN1	na	8.0	8.0	5.0	8.0	7.0	6.0	5.0	8.0	6.0	7.0	9.0	8.0	6.0	8.0	7.0	8.0	4.0	8.0	4.0	7.0	7.0	5.0	8.0	5.0	8.0	6.0	5.0	5.0	6.0	8.0	7.0	8.0	9.0	7.0	6.0	7.0	6.0	4.0	6.0	7.0	6.0	9.0	6.0	7.0	6.0	6.0	9.0	8.0	5.0	8.0	6.0	7.0	7.0	6.0	8.0	8.0	7.0
UQCRQ	na	8.0	7.0	8.0	6.0	6.0	8.0	8.0	6.0	7.0	7.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	7.0	4.0	8.0	6.0	7.0	7.0	8.0	3.0	7.0	6.0	8.0	8.0	7.0	7.0	8.0	7.0	7.0	7.0	7.0	8.0	8.0	7.0	7.0	8.0	8.0	7.0	7.0	8.0	7.0	5.0	5.0	8.0	7.0	8.0	7.0	7.0	8.0	7.0	8.0	7.0
OCIAD2	na	6.0	7.0	7.0	6.0	6.0	6.0	5.0	2.0	6.0	7.0	5.0	5.0	5.0	5.0	5.0	6.0	6.0	5.0	1.0	7.0	6.0	7.0	6.0	7.0	0.0	6.0	5.0	5.0	5.0	6.0	6.0	7.0	7.0	6.0	5.0	7.0	6.0	6.0	6.0	7.0	7.0	5.0	5.0	6.0	7.0	5.0	2.0	4.0	5.0	5.0	7.0	4.0	6.0	7.0	7.0	7.0	7.0
APOBEC3G	na	12.0	12.0	9.0	15.0	13.0	13.0	15.0	9.0	12.0	8.0	17.0	14.0	11.0	7.0	6.0	12.0	5.0	13.0	3.0	12.0	11.0	6.0	15.0	13.0	15.0	11.0	7.0	10.0	11.0	13.0	11.0	12.0	13.0	11.0	9.0	11.0	14.0	14.0	10.0	11.0	11.0	15.0	13.0	12.0	12.0	9.0	5.0	5.0	10.0	10.0	13.0	12.0	12.0	12.0	16.0	7.0	9.0
FLJ12886	na	0.0	1.0	2.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	3.0	1.0	3.0	3.0	1.0	2.0	2.0	3.0	3.0	2.0	3.0	2.0	1.0	0.0	2.0	1.0	2.0	2.0	2.0	3.0	3.0	3.0	2.0	2.0
PRF1	na	3.0	11.0	5.0	3.0	13.0	12.0	10.0	5.0	12.0	5.0	11.0	3.0	14.0	10.0	6.0	5.0	3.0	5.0	7.0	2.0	7.0	6.0	6.0	12.0	10.0	5.0	3.0	3.0	9.0	8.0	5.0	8.0	10.0	4.0	4.0	5.0	14.0	11.0	1.0	7.0	2.0	7.0	4.0	6.0	2.0	5.0	3.0	9.0	14.0	5.0	2.0	4.0	7.0	9.0	15.0	2.0	5.0
HLA-A	na	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
USP15	na	20.0	24.0	20.0	23.0	21.0	20.0	23.0	17.0	14.0	16.0	27.0	24.0	25.0	16.0	20.0	24.0	16.0	25.0	8.0	21.0	22.0	15.0	22.0	20.0	17.0	20.0	16.0	22.0	21.0	21.0	23.0	22.0	25.0	18.0	19.0	21.0	23.0	24.0	22.0	24.0	24.0	24.0	20.0	25.0	22.0	21.0	17.0	13.0	17.0	22.0	22.0	24.0	21.0	22.0	23.0	21.0	23.0
F2	na	18.0	17.0	12.0	15.0	13.0	23.0	9.0	14.0	6.0	10.0	19.0	19.0	10.0	15.0	8.0	9.0	16.0	10.0	8.0	23.0	11.0	17.0	11.0	22.0	8.0	8.0	3.0	2.0	13.0	16.0	7.0	9.0	17.0	13.0	22.0	10.0	7.0	15.0	4.0	9.0	20.0	14.0	13.0	7.0	22.0	9.0	7.0	10.0	9.0	13.0	7.0	12.0	20.0	12.0	13.0	19.0	17.0
FAM136A	na	6.0	7.0	5.0	5.0	5.0	5.0	7.0	6.0	7.0	7.0	7.0	6.0	5.0	7.0	7.0	4.0	4.0	7.0	4.0	5.0	4.0	6.0	7.0	6.0	6.0	6.0	4.0	5.0	6.0	7.0	7.0	7.0	6.0	6.0	7.0	4.0	7.0	5.0	7.0	6.0	6.0	6.0	4.0	6.0	6.0	4.0	6.0	7.0	4.0	6.0	6.0	7.0	4.0	6.0	7.0	7.0	6.0
AKT1	na	3.0	4.0	4.0	4.0	3.0	4.0	4.0	1.0	1.0	1.0	3.0	3.0	3.0	3.0	2.0	4.0	1.0	3.0	1.0	3.0	5.0	3.0	3.0	3.0	1.0	3.0	2.0	4.0	3.0	5.0	4.0	3.0	4.0	3.0	2.0	3.0	3.0	5.0	4.0	4.0	4.0	3.0	2.0	2.0	3.0	2.0	2.0	1.0	3.0	3.0	2.0	4.0	4.0	3.0	4.0	3.0	5.0
FOXK1	na	8.0	10.0	10.0	9.0	11.0	9.0	9.0	8.0	8.0	8.0	8.0	8.0	11.0	10.0	10.0	10.0	9.0	8.0	8.0	9.0	8.0	9.0	9.0	9.0	8.0	9.0	9.0	9.0	8.0	9.0	8.0	10.0	9.0	10.0	10.0	9.0	9.0	10.0	10.0	9.0	9.0	10.0	10.0	10.0	8.0	10.0	8.0	7.0	7.0	7.0	9.0	8.0	9.0	10.0	11.0	8.0	9.0
CYB5B	na	5.0	6.0	3.0	6.0	5.0	4.0	3.0	2.0	4.0	3.0	5.0	5.0	4.0	4.0	4.0	4.0	4.0	5.0	0.0	4.0	4.0	4.0	6.0	5.0	2.0	4.0	3.0	5.0	4.0	6.0	5.0	6.0	6.0	6.0	4.0	5.0	5.0	5.0	6.0	6.0	7.0	7.0	5.0	6.0	6.0	4.0	4.0	4.0	4.0	6.0	5.0	5.0	4.0	4.0	6.0	6.0	5.0
CD6	na	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	0.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0
RAP2C	na	2.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	0.0	1.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	1.0	2.0	1.0	2.0	2.0	1.0	0.0	0.0	2.0	2.0	1.0	1.0	0.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0
MAP7D1	na	16.0	14.0	15.0	13.0	11.0	14.0	9.0	8.0	13.0	11.0	15.0	15.0	14.0	16.0	16.0	15.0	11.0	14.0	10.0	12.0	12.0	11.0	16.0	16.0	12.0	13.0	10.0	16.0	13.0	13.0	14.0	15.0	14.0	15.0	13.0	14.0	10.0	10.0	14.0	13.0	13.0	14.0	10.0	12.0	13.0	13.0	11.0	16.0	12.0	11.0	12.0	12.0	13.0	14.0	12.0	14.0	14.0
POLB	na	4.0	5.0	4.0	4.0	3.0	3.0	3.0	2.0	3.0	2.0	4.0	4.0	3.0	5.0	3.0	3.0	1.0	3.0	1.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	4.0	4.0	2.0	3.0	2.0	3.0	4.0	3.0	3.0	3.0	3.0	2.0	3.0	4.0	3.0	1.0	2.0	1.0	2.0	3.0	4.0	2.0	3.0	3.0	4.0	4.0
TBC1D10B	na	5.0	5.0	4.0	4.0	2.0	4.0	6.0	2.0	3.0	5.0	4.0	4.0	5.0	4.0	2.0	5.0	3.0	2.0	3.0	5.0	5.0	4.0	3.0	5.0	2.0	4.0	2.0	5.0	4.0	5.0	5.0	5.0	5.0	3.0	3.0	4.0	5.0	4.0	5.0	5.0	5.0	4.0	3.0	4.0	2.0	4.0	0.0	3.0	2.0	2.0	5.0	3.0	5.0	4.0	3.0	4.0	5.0
MAN2A1	na	4.0	5.0	4.0	5.0	4.0	4.0	5.0	0.0	2.0	3.0	3.0	3.0	5.0	2.0	4.0	5.0	3.0	3.0	0.0	4.0	6.0	3.0	2.0	4.0	2.0	4.0	4.0	5.0	5.0	3.0	4.0	5.0	4.0	3.0	2.0	2.0	3.0	4.0	4.0	4.0	3.0	2.0	3.0	4.0	2.0	2.0	0.0	1.0	4.0	3.0	3.0	4.0	2.0	4.0	4.0	4.0	4.0
PIGR	na	4.0	6.0	5.0	3.0	3.0	3.0	8.0	1.0	2.0	4.0	3.0	3.0	3.0	6.0	3.0	7.0	2.0	3.0	2.0	4.0	6.0	2.0	5.0	3.0	1.0	5.0	2.0	4.0	4.0	2.0	6.0	3.0	18.0	2.0	1.0	0.0	3.0	17.0	4.0	1.0	3.0	3.0	5.0	7.0	2.0	2.0	1.0	3.0	2.0	2.0	2.0	1.0	5.0	2.0	6.0	2.0	4.0
IFT25	na	3.0	3.0	2.0	4.0	3.0	2.0	2.0	2.0	2.0	2.0	4.0	4.0	0.0	3.0	2.0	3.0	1.0	4.0	0.0	3.0	3.0	1.0	4.0	3.0	4.0	2.0	0.0	1.0	3.0	4.0	3.0	3.0	3.0	4.0	4.0	4.0	3.0	3.0	4.0	4.0	4.0	4.0	4.0	3.0	3.0	2.0	0.0	0.0	2.0	4.0	4.0	4.0	1.0	2.0	4.0	4.0	2.0
PGRMC1	na	4.0	4.0	4.0	3.0	3.0	4.0	4.0	2.0	3.0	3.0	4.0	4.0	2.0	4.0	4.0	4.0	3.0	3.0	2.0	4.0	3.0	4.0	4.0	4.0	1.0	3.0	3.0	4.0	3.0	4.0	4.0	4.0	4.0	1.0	2.0	3.0	4.0	2.0	3.0	3.0	3.0	4.0	3.0	4.0	3.0	3.0	3.0	4.0	3.0	3.0	3.0	3.0	2.0	3.0	4.0	4.0	3.0
NCBP3	na	9.0	10.0	9.0	9.0	7.0	6.0	8.0	8.0	9.0	7.0	11.0	8.0	10.0	9.0	11.0	11.0	6.0	7.0	8.0	8.0	7.0	9.0	7.0	10.0	7.0	10.0	7.0	10.0	9.0	9.0	9.0	8.0	8.0	7.0	6.0	7.0	7.0	9.0	10.0	8.0	6.0	9.0	6.0	8.0	7.0	8.0	9.0	9.0	6.0	8.0	7.0	10.0	10.0	8.0	9.0	9.0	7.0
FIP1L1	na	9.0	11.0	8.0	8.0	6.0	7.0	4.0	7.0	7.0	7.0	10.0	10.0	7.0	10.0	9.0	9.0	5.0	9.0	9.0	9.0	8.0	6.0	8.0	8.0	6.0	7.0	7.0	7.0	7.0	8.0	10.0	10.0	10.0	9.0	9.0	7.0	9.0	9.0	11.0	10.0	9.0	11.0	7.0	9.0	9.0	7.0	9.0	11.0	7.0	9.0	10.0	6.0	11.0	10.0	7.0	10.0	7.0
INTS9	na	4.0	4.0	4.0	4.0	3.0	3.0	4.0	0.0	0.0	1.0	2.0	0.0	3.0	2.0	2.0	5.0	4.0	3.0	0.0	3.0	4.0	3.0	4.0	2.0	0.0	3.0	2.0	4.0	4.0	4.0	4.0	2.0	4.0	4.0	2.0	2.0	1.0	4.0	3.0	5.0	4.0	6.0	1.0	4.0	1.0	1.0	0.0	0.0	2.0	3.0	2.0	2.0	2.0	4.0	5.0	3.0	5.0
FAF2	na	5.0	7.0	6.0	7.0	7.0	6.0	6.0	1.0	1.0	5.0	4.0	5.0	7.0	4.0	4.0	5.0	4.0	5.0	1.0	6.0	8.0	3.0	6.0	7.0	0.0	4.0	3.0	8.0	7.0	7.0	8.0	6.0	7.0	7.0	6.0	3.0	6.0	8.0	6.0	7.0	7.0	8.0	5.0	7.0	6.0	4.0	4.0	3.0	5.0	8.0	6.0	7.0	6.0	7.0	7.0	8.0	7.0
SAFB2	na	34.0	32.0	32.0	34.0	31.0	28.0	29.0	34.0	31.0	31.0	34.0	33.0	27.0	36.0	33.0	33.0	31.0	35.0	29.0	30.0	32.0	30.0	32.0	33.0	30.0	31.0	28.0	23.0	30.0	32.0	34.0	32.0	36.0	34.0	29.0	30.0	28.0	29.0	33.0	30.0	30.0	32.0	31.0	30.0	30.0	26.0	33.0	34.0	23.0	32.0	28.0	27.0	33.0	25.0	27.0	35.0	31.0
ACT	na	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0
CCDC88B	na	26.0	28.0	30.0	29.0	27.0	21.0	24.0	16.0	12.0	14.0	17.0	22.0	12.0	25.0	26.0	29.0	22.0	27.0	23.0	28.0	29.0	18.0	23.0	27.0	10.0	16.0	20.0	25.0	23.0	29.0	26.0	32.0	31.0	23.0	27.0	18.0	27.0	27.0	24.0	25.0	29.0	23.0	24.0	28.0	21.0	27.0	11.0	27.0	20.0	22.0	29.0	26.0	29.0	19.0	32.0	28.0	26.0
NDUFS1	na	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0
C14orf159	na	11.0	12.0	11.0	13.0	6.0	8.0	10.0	5.0	4.0	6.0	9.0	10.0	10.0	6.0	8.0	13.0	12.0	4.0	1.0	11.0	1.0	6.0	3.0	7.0	4.0	6.0	2.0	8.0	10.0	9.0	14.0	8.0	2.0	11.0	12.0	10.0	1.0	7.0	8.0	2.0	2.0	12.0	7.0	10.0	7.0	2.0	5.0	5.0	7.0	12.0	10.0	11.0	10.0	10.0	15.0	11.0	12.0
MATR3	na	39.0	43.0	36.0	39.0	37.0	34.0	33.0	37.0	34.0	34.0	36.0	38.0	39.0	40.0	34.0	40.0	35.0	36.0	26.0	34.0	35.0	32.0	38.0	38.0	33.0	36.0	32.0	40.0	36.0	37.0	40.0	36.0	40.0	39.0	33.0	35.0	37.0	39.0	38.0	39.0	39.0	37.0	34.0	38.0	38.0	35.0	30.0	35.0	31.0	35.0	35.0	37.0	39.0	38.0	40.0	38.0	43.0
POP1	na	13.0	10.0	9.0	11.0	10.0	11.0	7.0	9.0	13.0	11.0	13.0	15.0	12.0	13.0	13.0	13.0	6.0	11.0	4.0	12.0	11.0	9.0	12.0	10.0	14.0	13.0	6.0	13.0	11.0	11.0	12.0	12.0	11.0	9.0	6.0	7.0	8.0	9.0	8.0	8.0	5.0	13.0	3.0	7.0	5.0	7.0	10.0	2.0	5.0	7.0	6.0	6.0	11.0	6.0	10.0	7.0	12.0
GOLGA3	na	31.0	33.0	31.0	30.0	24.0	21.0	20.0	23.0	27.0	24.0	33.0	31.0	27.0	29.0	27.0	28.0	23.0	32.0	22.0	22.0	29.0	27.0	24.0	28.0	17.0	27.0	17.0	32.0	29.0	27.0	30.0	27.0	26.0	29.0	19.0	21.0	22.0	29.0	30.0	28.0	25.0	28.0	28.0	30.0	22.0	23.0	26.0	30.0	24.0	23.0	27.0	32.0	32.0	24.0	26.0	31.0	21.0
AGPAT3	na	3.0	4.0	3.0	0.0	5.0	4.0	4.0	0.0	2.0	1.0	3.0	1.0	3.0	1.0	1.0	3.0	2.0	2.0	0.0	5.0	4.0	2.0	2.0	3.0	2.0	4.0	3.0	4.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0	4.0	3.0	2.0	3.0	4.0	1.0	2.0	0.0	3.0	2.0	2.0	2.0	4.0	4.0	3.0	3.0	3.0
NUP107	na	13.0	13.0	13.0	11.0	13.0	15.0	11.0	6.0	10.0	12.0	12.0	8.0	14.0	11.0	13.0	15.0	12.0	11.0	7.0	15.0	15.0	13.0	14.0	13.0	4.0	11.0	11.0	15.0	13.0	12.0	13.0	10.0	13.0	12.0	13.0	13.0	16.0	16.0	15.0	15.0	15.0	13.0	12.0	13.0	13.0	13.0	8.0	11.0	12.0	14.0	16.0	14.0	10.0	15.0	17.0	12.0	15.0
NUDT16L1	na	10.0	10.0	11.0	11.0	8.0	10.0	10.0	4.0	8.0	9.0	8.0	11.0	8.0	7.0	10.0	11.0	9.0	8.0	2.0	9.0	11.0	8.0	9.0	10.0	4.0	8.0	7.0	10.0	10.0	9.0	11.0	10.0	10.0	10.0	9.0	9.0	9.0	11.0	9.0	10.0	11.0	8.0	8.0	9.0	10.0	9.0	5.0	7.0	10.0	9.0	10.0	9.0	9.0	10.0	10.0	9.0	11.0
CMC4	na	4.0	3.0	4.0	4.0	3.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0	4.0	6.0	4.0	4.0	5.0	5.0	6.0	5.0	5.0	4.0	5.0	3.0	5.0	3.0	5.0	4.0	4.0	5.0	5.0	5.0	4.0	5.0	4.0	4.0	4.0	1.0	5.0	5.0	4.0	5.0	3.0	3.0	5.0	4.0	5.0	5.0	5.0	4.0	5.0	4.0	0.0	2.0	5.0	5.0	1.0
EIF2S3	na	23.0	26.0	19.0	23.0	19.0	20.0	20.0	20.0	19.0	17.0	23.0	24.0	22.0	25.0	23.0	22.0	21.0	23.0	15.0	23.0	22.0	19.0	22.0	22.0	19.0	20.0	18.0	22.0	20.0	22.0	24.0	23.0	22.0	24.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	24.0	23.0	24.0	23.0	21.0	19.0	19.0	20.0	22.0	21.0	23.0	20.0	21.0	22.0	26.0	23.0
LENG1	na	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	2.0	3.0	2.0	3.0	3.0	3.0	2.0	3.0	2.0	2.0	3.0	3.0	2.0	3.0	3.0	2.0	3.0	3.0	3.0	2.0	2.0
HNRNPA2B1	na	40.0	44.0	37.0	40.0	40.0	33.0	33.0	42.0	35.0	37.0	44.0	45.0	39.0	45.0	43.0	34.0	38.0	40.0	38.0	34.0	33.0	34.0	35.0	34.0	36.0	36.0	32.0	35.0	34.0	39.0	38.0	42.0	36.0	41.0	36.0	40.0	38.0	38.0	41.0	37.0	38.0	40.0	36.0	41.0	38.0	42.0	37.0	43.0	33.0	38.0	35.0	35.0	42.0	36.0	33.0	41.0	37.0
LSP1	na	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0
UCHL5	na	14.0	16.0	11.0	16.0	10.0	11.0	10.0	6.0	7.0	7.0	14.0	13.0	12.0	13.0	12.0	14.0	9.0	14.0	6.0	12.0	12.0	8.0	15.0	14.0	5.0	9.0	8.0	14.0	11.0	12.0	13.0	11.0	14.0	11.0	11.0	9.0	13.0	13.0	13.0	14.0	14.0	12.0	13.0	13.0	13.0	12.0	9.0	10.0	10.0	11.0	13.0	13.0	11.0	12.0	12.0	15.0	14.0
FTL	na	1.0	2.0	1.0	1.0	0.0	1.0	3.0	0.0	2.0	2.0	1.0	3.0	3.0	2.0	2.0	3.0	1.0	1.0	1.0	1.0	0.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	3.0	1.0	2.0	3.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	3.0	2.0	2.0	0.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0
ABHD11	na	4.0	6.0	4.0	6.0	3.0	4.0	3.0	3.0	2.0	2.0	5.0	5.0	4.0	4.0	5.0	4.0	3.0	5.0	3.0	4.0	4.0	2.0	6.0	3.0	1.0	1.0	3.0	4.0	2.0	6.0	5.0	6.0	5.0	6.0	3.0	2.0	4.0	5.0	4.0	5.0	3.0	6.0	2.0	4.0	1.0	3.0	0.0	0.0	3.0	4.0	4.0	2.0	4.0	5.0	5.0	4.0	5.0
FLYWCH2	na	6.0	6.0	6.0	7.0	6.0	6.0	2.0	5.0	5.0	6.0	7.0	9.0	6.0	6.0	6.0	6.0	5.0	7.0	9.0	6.0	7.0	6.0	7.0	6.0	6.0	6.0	5.0	6.0	7.0	6.0	8.0	9.0	8.0	6.0	6.0	6.0	6.0	6.0	7.0	6.0	6.0	7.0	5.0	5.0	5.0	6.0	6.0	4.0	5.0	6.0	6.0	5.0	6.0	6.0	6.0	6.0	6.0
RPL38	na	5.0	4.0	4.0	5.0	4.0	4.0	2.0	4.0	4.0	4.0	5.0	5.0	4.0	5.0	5.0	5.0	3.0	4.0	3.0	5.0	5.0	3.0	5.0	5.0	5.0	4.0	1.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	6.0	6.0	5.0	5.0	4.0	4.0	4.0	4.0	4.0	5.0	3.0	5.0	5.0	4.0	6.0	5.0	5.0	6.0	6.0
LPGAT1	na	3.0	3.0	3.0	3.0	2.0	3.0	3.0	0.0	0.0	1.0	1.0	1.0	3.0	1.0	0.0	2.0	0.0	0.0	0.0	3.0	3.0	1.0	2.0	3.0	0.0	1.0	1.0	3.0	3.0	2.0	3.0	2.0	3.0	2.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	2.0	2.0	1.0	0.0	0.0	1.0	2.0	2.0	1.0	1.0	2.0	3.0	1.0	2.0
